run,burned_cells
run_0401,18203
run_0402,11993
run_0403,8394
run_0404,6973
run_0405,4588
run_0406,9859
run_0407,9978
run_0408,9843
run_0409,9282
run_0410,7705
run_0411,5415
run_0412,6
run_0413,9325
run_0414,13124
run_0415,13621
run_0416,13861
run_0417,20008
run_0418,24469
run_0419,25161
run_0420,29305
run_0421,25652
run_0422,24259
run_0423,26879
run_0424,29561
run_0425,29494
run_0426,29216
run_0427,29551
run_0428,33494
run_0429,38466
run_0430,38301
run_0431,43728
run_0432,47170
run_0433,49705
run_0434,51073
run_0435,59530
run_0436,45949
run_0437,37491
run_0438,35456
run_0439,30053
run_0440,31508
run_0441,21184
run_0442,10436
run_0443,7273
run_0444,5081
run_0445,2407
run_0446,11007
run_0447,10532
run_0448,10846
run_0449,10493
run_0450,8534
run_0451,41
run_0452,1
run_0453,6546
run_0454,11724
run_0455,11183
run_0456,10935
run_0457,14633
run_0458,20977
run_0459,22992
run_0460,18618
run_0461,20236
run_0462,21752
run_0463,21381
run_0464,22309
run_0465,21843
run_0466,18210
run_0467,23181
run_0468,25169
run_0469,32623
run_0470,35852
run_0471,38744
run_0472,45475
run_0473,49732
run_0474,60543
run_0475,61171
run_0476,45402
run_0477,38783
run_0478,38183
run_0479,30334
run_0480,26446
run_0481,13705
run_0482,8818
run_0483,6545
run_0484,3369
run_0485,11384
run_0486,13008
run_0487,11805
run_0488,11538
run_0489,10659
run_0490,8023
run_0491,1
run_0492,743
run_0493,690
run_0494,643
run_0495,7488
run_0496,6211
run_0497,6347
run_0498,4386
run_0499,4372
run_0501,3090
